Vehicle,buying_price,luggage_boot_size,maintainence_cost,number_of_doors,number_of_seats,popularity,safety_rating
1,3,2,2,4,2,1,2
2,3,2,2,2,5,1,1
3,1,1,4,2,5,1,3
4,4,1,4,2,2,1,2
5,3,3,3,3,4,2,3
6,2,1,1,2,2,1,1
7,1,2,3,5,2,1,2
8,3,3,1,2,4,2,2
9,1,2,1,3,5,1,1
10,2,2,1,4,2,1,2
11,3,1,1,3,2,1,1
12,3,3,2,3,4,2,2
13,4,1,3,5,4,1,1
14,1,2,2,2,5,3,3
15,2,3,4,2,2,1,1
16,4,2,3,4,2,1,3
17,4,3,1,3,5,2,2
18,3,3,2,3,5,2,2
19,3,3,3,3,2,1,3
20,1,2,3,4,2,1,2
21,4,2,3,4,5,1,2
22,4,1,4,4,2,1,1
23,3,1,1,2,5,1,1
24,2,2,3,5,5,1,1
25,4,2,4,5,4,1,3
26,1,3,4,4,2,1,2
27,4,2,1,5,2,1,1
28,3,1,3,4,5,1,1
29,1,3,3,3,2,1,3
30,4,1,3,5,2,1,3
31,4,3,4,2,5,1,3
32,4,1,1,5,4,1,2
33,4,1,2,3,4,1,2
34,1,1,1,5,4,3,3
35,1,2,1,4,4,4,3
36,1,3,4,5,4,1,1
37,4,3,1,2,5,2,3
38,4,2,3,4,5,1,3
39,3,2,1,2,2,1,1
40,4,2,4,3,4,1,1
41,2,3,2,3,5,1,1
42,2,1,2,4,4,2,3
43,2,2,2,2,5,2,3
44,4,3,4,3,4,1,3
45,4,1,1,2,4,2,3
46,4,1,4,4,4,1,3
47,2,1,2,3,5,2,3
48,1,2,3,2,4,2,3
49,3,3,2,5,5,1,1
50,2,2,3,3,4,1,2
51,4,1,2,2,2,1,3
52,4,1,1,2,2,1,3
53,3,1,3,2,2,1,2
54,1,2,3,3,4,2,3
55,4,2,3,2,5,1,2
56,3,2,2,4,5,1,1
57,1,3,2,5,2,1,3
58,1,3,3,4,5,1,1
59,4,3,2,2,5,2,2
60,4,1,1,4,4,1,1
61,2,1,2,3,5,1,1
62,1,2,1,4,4,1,1
63,1,2,4,3,4,2,3
64,2,2,4,4,4,2,2
65,2,3,1,5,2,1,3
66,2,3,3,5,2,1,1
67,1,3,1,4,2,1,3
68,1,3,3,2,4,4,3
69,4,3,4,3,4,1,1
70,4,3,3,5,5,1,3
71,1,1,3,3,2,1,3
72,4,2,4,5,5,1,2
73,4,1,2,5,4,1,2
74,2,1,3,3,4,2,3
75,4,1,4,4,5,1,1
76,3,1,4,2,2,1,3
77,4,3,1,3,2,1,3
78,4,2,4,2,2,1,1
79,1,3,1,2,2,1,1
80,2,1,1,5,2,1,3
81,4,2,2,4,2,1,3
82,4,2,4,4,4,1,3
83,2,3,4,4,2,1,1
84,1,3,3,4,2,1,1
85,4,1,3,4,4,1,1
86,1,2,2,2,4,2,2
87,2,3,2,5,2,1,2
88,2,2,3,2,2,1,3
89,2,2,2,3,5,1,1
90,1,3,4,4,5,1,1
91,1,2,3,2,2,1,3
92,4,1,3,3,2,1,1
93,2,1,1,4,5,1,1
94,1,1,2,3,5,1,1
95,3,2,4,3,2,1,3
96,4,3,4,4,4,1,2
97,2,2,4,2,4,1,2
98,3,1,3,5,5,1,2
99,3,2,4,4,4,1,3
100,1,2,4,3,5,1,1
101,1,1,4,3,4,2,3
102,1,3,1,4,4,3,2
103,2,3,4,2,4,2,3
104,3,2,3,2,5,1,2
105,2,3,2,4,4,1,1
106,3,2,2,2,4,2,3
107,3,1,3,3,2,1,1
108,1,1,2,5,4,3,3
109,3,3,3,2,4,1,1
110,3,1,2,2,5,1,1
111,2,1,1,5,4,3,3
112,3,3,3,5,5,1,1
113,2,2,2,2,5,1,1
114,3,2,4,4,2,1,2
115,4,1,4,4,5,1,2
116,2,1,3,4,2,1,1
117,2,2,2,4,4,1,1
118,2,3,1,5,5,3,2
119,4,2,1,4,5,2,3
120,3,1,3,4,5,1,2
121,3,1,3,2,4,1,2
122,1,2,3,2,5,2,3
123,3,3,2,3,4,1,1
124,2,3,4,3,4,1,1
125,3,1,4,2,4,1,3
126,2,3,1,5,2,1,1
127,4,1,3,3,2,1,3
128,1,2,1,2,4,3,3
129,4,1,3,5,2,1,2
130,2,2,4,3,4,1,1
131,1,3,4,3,2,1,2
132,2,1,2,5,5,1,1
133,3,2,3,4,4,2,2
134,2,3,2,3,5,4,3
135,4,3,4,5,2,1,1
136,4,2,1,2,5,2,3
137,3,3,2,4,2,1,2
138,2,3,1,2,2,1,3
139,3,1,2,4,2,1,2
140,3,3,4,4,5,1,3
141,3,2,2,5,2,1,1
142,2,1,3,5,2,1,2
143,2,3,2,4,5,1,1
144,3,2,1,3,2,1,2
145,2,2,2,5,2,1,3
146,2,3,3,3,2,1,1
147,4,3,2,2,4,1,1
148,2,1,2,3,2,1,2
149,2,1,4,3,2,1,2
150,1,2,3,4,2,1,1
151,4,2,1,3,4,1,2
152,1,3,2,3,2,1,2
153,4,3,4,3,4,1,2
154,3,1,2,5,5,1,2
155,2,1,2,5,5,2,2
156,4,3,1,2,4,2,2
157,1,2,4,2,4,1,2
158,3,2,2,4,4,2,2
159,1,2,4,5,4,1,1
160,2,3,4,4,4,2,2
161,4,2,1,2,2,1,1
162,3,3,3,5,4,1,1
163,1,2,1,4,2,1,3
164,1,2,1,3,5,4,3
165,3,1,4,3,5,1,2
166,2,1,4,4,2,1,2
167,2,2,1,5,2,1,1
168,4,3,1,2,2,1,1
169,1,3,1,2,2,1,3
170,2,2,2,2,4,2,2
171,4,1,2,5,5,2,3
172,3,3,2,2,5,2,3
173,3,2,4,2,5,1,1
174,4,1,1,2,5,1,3
175,3,2,3,3,2,1,1
176,1,1,4,5,4,2,3
177,3,3,4,4,5,1,2
178,4,1,4,5,4,1,2
179,1,2,2,3,2,1,3
180,4,1,2,3,2,1,2
181,3,2,3,3,4,1,1
182,2,3,3,2,5,2,3
183,2,3,3,5,5,2,2
184,1,3,4,5,5,1,1
185,3,2,4,5,4,1,2
186,4,2,4,4,2,1,1
187,3,2,3,3,5,1,1
188,1,1,1,4,4,3,3
189,4,1,1,3,2,1,2
190,4,1,4,3,4,1,2
191,3,1,4,5,5,1,1
192,4,1,2,2,5,1,3
193,2,1,4,5,5,1,2
194,3,3,2,4,4,1,1
195,1,1,2,2,5,1,3
196,3,1,4,4,5,1,2
197,3,1,2,3,4,2,3
198,1,1,3,3,4,1,1
199,3,2,4,5,5,1,3
200,4,3,4,5,5,1,1
201,4,2,2,4,2,1,1
202,1,3,4,2,2,1,3
203,4,2,1,2,4,1,1
204,3,3,2,5,2,1,3
205,3,2,4,5,5,1,2
206,1,2,4,2,2,1,3
207,4,2,3,2,4,1,1
208,3,3,1,4,4,2,2
209,4,2,1,5,5,2,3
210,2,1,4,3,5,1,1
211,3,2,3,3,2,1,2
212,1,3,4,5,5,2,2
213,3,1,1,5,2,1,2
214,3,3,2,2,2,1,2
215,1,3,1,3,2,1,3
216,1,3,2,2,4,4,3
217,1,1,4,2,4,1,2
218,2,2,3,4,2,1,2
219,1,2,1,5,4,3,2
220,3,3,2,4,2,1,3
221,3,1,4,2,4,1,1
222,3,1,2,4,4,1,2
223,2,2,3,3,4,2,3
224,1,2,3,5,2,1,1
225,1,1,4,4,4,2,3
226,4,3,2,5,4,1,1
227,4,1,1,4,5,1,2
228,3,2,3,4,5,2,3
229,2,1,4,3,5,1,2
230,2,1,4,3,4,1,2
231,2,1,1,4,5,3,3
232,2,2,3,2,4,1,2
233,2,2,4,4,4,1,1
234,4,3,4,2,2,1,1
235,4,1,2,4,4,1,1
236,4,1,2,2,2,1,2
237,3,3,2,5,4,2,2
238,2,3,4,2,4,1,1
239,3,1,3,3,4,1,2
240,2,2,4,5,4,2,3
241,2,1,3,5,5,1,2
242,3,1,2,3,4,1,2
243,2,1,3,4,4,1,1
244,1,1,2,5,4,2,2
245,1,3,1,2,2,1,2
246,2,3,4,2,5,1,1
247,1,3,4,2,2,1,1
248,4,3,2,2,5,2,3
249,2,1,3,4,4,2,3
250,4,3,3,3,5,1,3